Result for strategy abbas8
============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|--------------+-----------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
|   LAZIO/USDT |       142 |           1.03 |         146.14 |           146.261 |          14.48 |         1:16:00 |   120     7    15  84.5 |
|    LOKA/USDT |       137 |           0.97 |         133.18 |           133.194 |          13.19 |         1:24:00 |   112    11    14  81.8 |
|   PORTO/USDT |       111 |           1.18 |         131.28 |           131.394 |          13.01 |         1:40:00 |    89    13     9  80.2 |
|    BETA/USDT |       116 |           0.97 |         112.89 |           112.804 |          11.17 |         1:31:00 |    95     9    12  81.9 |
|  SANTOS/USDT |       143 |           0.77 |         109.94 |           110.020 |          10.89 |         1:18:00 |   114    10    19  79.7 |
|     MBL/USDT |        97 |           1.10 |         106.32 |           106.421 |          10.54 |         0:58:00 |    82     5    10  84.5 |
|     LDO/USDT |        91 |           1.13 |         103.12 |           103.216 |          10.22 |         1:26:00 |    74     8     9  81.3 |
|     GMT/USDT |       119 |           0.87 |         103.11 |           103.165 |          10.21 |         1:46:00 |    93    13    13  78.2 |
|    KP3R/USDT |        84 |           1.25 |         104.59 |           100.467 |           9.95 |         2:32:00 |    69     8     7  82.1 |
|    DEGO/USDT |        73 |           1.37 |         100.07 |           100.155 |           9.92 |         0:48:00 |    64     3     6  87.7 |
|   FORTH/USDT |        95 |           1.03 |          98.32 |            98.377 |           9.74 |         1:06:00 |    82     1    12  86.3 |
|     REQ/USDT |        62 |           1.57 |          97.46 |            97.467 |           9.65 |         1:03:00 |    55     4     3  88.7 |
|    WING/USDT |       100 |           0.92 |          91.99 |            92.066 |           9.12 |         1:17:00 |    80     6    14  80.0 |
|     PYR/USDT |        62 |           1.47 |          91.37 |            91.456 |           9.06 |         1:49:00 |    49    12     1  79.0 |
|      OG/USDT |       105 |           0.86 |          90.08 |            90.002 |           8.91 |         1:19:00 |    84    10    11  80.0 |
|    PERP/USDT |        70 |           1.27 |          88.82 |            88.906 |           8.80 |         2:17:00 |    58     7     5  82.9 |
